有什麼我能\n為你服務的嗎？	Is there anything I\ncan do for you?
請挑選你想要\n兌換的卡片。	Please pick the card\nyou want to redeem.
抱歉！\n你的點數不足！	Sorry!\nNot enough points!
對不起！\n您的卡片欄已滿！	Sorry!\nYour card slots are full!
歡迎下次再來！	Come again!
歡迎光臨\n道具店！	Welcome to the\nItem Shop!
您要兌換\n什麼道具？	Which item would\nyou like to redeem?
對不起，\n您的點券不夠！	Sorry, you don't\nhave enough points!
很抱歉！您的\n道具欄已滿！	Sorry!\nYour item slots are full!
這個道具會員\n才能兌換！	Members only!\nCan't redeem this item.
謝謝惠顧！	Thank you, please come again!
哈囉！\n一券在手，\n希望無窮！	Hello!\nA ticket in hand,\nendless hope!
只要一千元，\n就有獲得大獎\n的機會！	Just $1,000 for a\nchance at a grand\nprize!
請圈選您的\n幸運號碼∼	Please mark your\nlucky numbers~
拜拜！祝您中獎！	Bye! Good luck!
太可惜了！\n您的現金不足∼	What a shame!\nNot enough cash~
下次再來吧！	Come back soon!
嗨！\n又到了每月\n十五號樂透\n開獎時間∼	Hi! It's the 15th\nagain — time for the\nmonthly lottery\ndraw~
現在馬上為您\n開出這一期的\n號碼．．。	Drawing this month's\nwinning numbers\nright now...
本月份的得主\n是．．．。	This month's winner\nis...
恭喜您獨得\n所有獎金！	Congrats! You win\nthe entire jackpot!
SORRY！\n本月份沒有人\n得獎∼	SORRY!\nNo winners\nthis month~
獎金將累積\n到下個月．\n．．．。	The jackpot rolls\nover to next\nmonth...
希望下次\n得獎者就\n是您！	Maybe the next\nwinner will\nbe you!
行動要快喔！	Act fast!
進來魔法屋，就得\n完全照我的指示！	Enter the Magic House,\nand you'll do exactly\nas I say!
我選出符合條件的人。	I choose those who qualify.
你來決定他們的命運∼	You decide their fate~
嘿∼輪到你了！	Hey~ your turn!
天靈靈地靈靈∼	Spirits above,\nspirits below~
你想召喚死神，\n為你復仇嗎？	Do you wish to summon\nDeath to take revenge?
你要死神附身在誰身上？	Who should Death possess?
嘿！你真仁慈∼	Hey! How merciful~
財產最多的人	Richest player
土地最多的人	Player with most land
房屋最多的人	Player with most buildings
現金最多的人	Player with most cash
存款最多的人	Player with most savings
點券最多的人	Player with most points
走路的人	Walking player
騎機車的人	Scooter rider
開汽車的人	Car driver
神明附身的人	Possessed player
所有男生	All men
所有女生	All women
歡迎光臨\n大富翁銀行！	Welcome to the\nRichman Bank!
需要我為您\n服務嗎？	How may I\nhelp you?
您的貸款額度\n為一百萬元。	Your credit limit\nis $1,000,000.
請輸入您要貸款\n的金額！	Enter the loan\namount!
您的貸款手續\n已經完成。	Your loan is\napproved.
請於三個月內\n還清貸款。	Repay within\nthree months.
很抱歉！\n金額已超過\n許可額度。	Sorry!\nThat exceeds\nyour credit limit.
請輸入您預備\n還款的金額！	Enter the repayment\namount!
很抱歉！\n您的現金不足。	Sorry!\nNot enough cash.
您的還款手續\n已完成。	Your repayment\nis complete.
謝謝您的惠顧！	Thank you for\nyour patronage!
董事長親自蒞臨\n不知有何指教？	The Chairman himself!\nWhat can I do for you?
請輸入您要\n週轉的金額∼	Enter the amount you\nwish to borrow~
行裡現在沒有\n這麼多現金。	The bank doesn't have\nthat much cash.
請輸入您要\n還款的金額∼	Enter the amount you\nwish to repay~
