不好意思，換個\n地皮你看如何？	Sorry, how about trading\nthis plot instead?
換個房子\n住住看也不錯。	Trying a different\nhouse sounds nice.
苦海無邊\n回頭是岸	The sea of suffering is boundless —\nturn back to shore
換換口味吧	Time for a change
家境清寒，\n變賣家產~	Hard up — selling\nthe family assets~
神愛世人~	God loves all~
甜心~出來吧！	Sweetheart~ come out!
小黃！\n快來幫我~	Rex!\nCome help me~
你蓋我就拆~	You build, I demolish~
哎喲~\n你後面有什麼？	Oh my~\nWhat's that behind you?
站住別動！	Stop right there!
睡吧睡吧！	Sleep, sleep!
小心\n別踩到狗屎啊！\n呵呵~	Careful not to step\nin dog poop!\nHeh heh~
嘿嘿，\n可別怪我喔。	Heh heh,\ndon't blame me.
別以為\n老娘好欺負！	Don't think you\ncan push me around!
幸好\n我早有防備~	Good thing I\nwas prepared~
不用找了，\n哈哈哈！	Keep the change,\nhahaha!
免死金牌在此！	My golden ticket\nis right here!
惡靈退散！！！	Begone, evil spirits!!!
嗯~來嘛！	Mmm~ come on!
想投資\n跟著我就對啦!	If you want to invest,\njust follow me!
投「機」人，\n你們要小心嘍!	Speculators,\nyou'd better watch out!
看你一副\n逃漏稅的樣子。	You look like\na tax evader.
租金太便宜了，\n我都沒賺到錢。	Rent's so cheap\nI'm not making anything.
不覺得這條路的\n收費太貴了嗎？	Doesn't this road's\ntoll seem too high?
跟我合作\n準沒錯!	Partner with me\nand you can't lose!
慢慢走吧!\n哈哈哈!	Walk slowly!\nHahaha!
山不轉路轉~	When the mountain won't turn,\nthe road will~
女人是善變的!	A woman's heart\nchanges like the wind!
老娘走不動了!	I can't walk another step!
看我的厲害!	Watch my power!
心好痛喔!	My heart aches!
討厭啦!	You're awful!
不要啦~	No way~
嗚~欺負人家~	Waa~ you're bullying me~
老娘\n不走回頭路!	I don't retrace\nmy steps!
氣死我啦!	I'm furious!
誰偷了\n我的地契?	Who stole\nmy land deed?
你這個\n殺千刀的!!	You insufferable\nscoundrel!!
沒人來\n守望相助嗎?	Is there no one\nto help a neighbor?
這還有王法嗎?	Is there no law anymore?
我趕著\n去約會耶!!	I'm rushing to\na date!!
你不會\n憐香惜玉啊?!	Have you no\ngentleness at all?!
愛計較!!	Such a fussbudget!!
終於認清\n你的真面目了!	Now I see your\ntrue colors!
小氣巴拉~	So stingy~
啊!\n荷包大出血!	Ah!\nMy wallet's bleeding!
別想佔\n老娘便宜!	Don't try to take\nadvantage of me!
誰來載我一程~	Someone give me a ride~
逗陣就是有緣~	It's fate that\nbrought us together~
加減補助啦~	Any little subsidy helps~
老厝邊免計較~	Old neighbors — no hard feelings~
這裡\n風水不壞喔~	Not bad feng shui\nhere~
破厝換別莊!	Swap a shanty for a villa!
